"KrillID","slope","rsq","SensorName","TrialID","MOATS","Treatment","LoadingLocation","VialNum","TelsonLength","WetWeight","CorrSlope","WetWeightSlope"
"Trial01_KrilLR11",-0.0224676001306167,0.857038615695062,"KrilLR11             ","Trial01","12","CUR","A1",1,"2.61",35,-0.0172546688333197,-0.000492990538094849
"Trial01_KrilLR13",-0.01356723152378,0.683668343365233,"KrilLR13             ","Trial01","12","CUR","B2",3,"3.06",21,-0.00835430022648302,-0.000397823820308715
"Trial01_KrilLR14",-0.00870741642632551,0.571625694519697,"KrilLR14             ","Trial01","6","TMP","B4",4,"2.09",6,-0.00349448512902849,-0.000582414188171415
"Trial01_KrilLR15",-0.00609597471618151,0.22981497140852,"KrilLR15             ","Trial01","6","TMP","C1",5,"2.49",31,-0.000883043418884493,-2.84852715769191e-05
"Trial01_KrilLR16",-0.0174593984073541,0.777080902093138,"KrilLR16             ","Trial01","8","CHG","C3",6,"3.12",58,-0.0122464671100571,-0.000211145984656157
"Trial01_KrilLR17",-0.00998974850454392,0.347677148259755,"KrilLR17             ","Trial01","8","CHG","C5",7,"3.13",43,-0.0047768172072469,-0.000111088772261556
"Trial01_KrilLR18",-0.0215583342305458,0.778840799507509,"KrilLR18             ","Trial01","12","CUR","E1",8,"3.37",34,-0.0163454029332488,-0.000480747145095552
"Trial01_KrILR110",-0.00903347793115371,0.698720574462384,"KrILR110             ","Trial01","8","CHG","G1",10,"2.58",23,-0.00382054663385669,-0.00016611072321116
"Trial01_KriLR111",-0.00904953320455591,0.811575379077142,"KriLR111             ","Trial01","6","TMP","G3",11,"2.51",26,-0.00383660190725889,-0.00014756161181765
"Trial01_KriLR112",-0.0105744742731128,0.592247836086046,"KriLR112             ","Trial01","6","TMP","G5",12,"n/a",7,-0.00536154297581575,-0.000765934710830822
"Trial01_KriLR113",-0.0144566480727816,0.878134852170404,"KriLR113             ","Trial01","6","TMP","H2",13,"2.75",59,-0.00924371677548463,-0.00015667316568618
"Trial01_KriLR114",-0.015829526920201,0.622160777819735,"KriLR114             ","Trial01","12","CUR","H4",14,"2.85",3,-0.010616595622904,-0.00353886520763466
"Trial01_KriLR115",-0.0190936955060859,0.759624215268507,"KriLR115             ","Trial01","6","TMP","I1",15,"3.13",47,-0.0138807642087889,-0.000295335408697636
"Trial01_KriLR116",-0.0201370141569993,0.889056214779533,"KriLR116             ","Trial01","8","CHG","I3",16,"2.59",63,-0.0149240828597023,-0.000236890204122258
"Trial01_KriLR117",-0.00840059938867092,0.590323118426509,"KriLR117             ","Trial01","8","CHG","I5",17,"3.03",51,-0.0031876680913739,-6.25032959092922e-05
"Trial01_KriLR118",-0.0134797323225994,0.897809439124222,"KriLR118             ","Trial01","6","TMP","J2",18,"2.48",30,-0.00826680102530238,-0.000275560034176746
"Trial01_KriLR119",-0.0214395660259425,0.882748597826696,"KriLR119             ","Trial01","6","TMP","J4",19,"2.96",44,-0.0162266347286454,-0.00036878715292376
"Trial02_KriLR220",-0.0125895208333792,0.758543327278698,"KriLR220             ","Trial02","12","CUR","A1",1,"3.19",15,-0.00989889392451651,-0.000659926261634434
"Trial02_KriLR223",-0.012031826487541,0.338815987808624,"KriLR223             ","Trial02","2","CHG","B2",4,"3.08",11,-0.0093411995786783,-0.000849199961698027
"Trial02_KriLR226",-0.00716378356755821,0.251857555796367,"KriLR226             ","Trial02","12","CUR","C5",7,"2.43",17,-0.00447315665869555,-0.000263126862276209
"Trial02_KriLR227",-0.0143366449739927,0.709861107902335,"KriLR227             ","Trial02","2","CHG","C5",8,"3.28",49,-0.01164601806513,-0.000237673838063879
"Trial02_KriLR229",-0.0045727115363022,0.0492423512970641,"KriLR229             ","Trial02","2","CHG","E5",10,"2.92",37,-0.00188208462743955,-5.08671520929608e-05
"Trial02_KriLR232",-0.00369860916240035,0.34952616646915,"KriLR232             ","Trial02","12","CUR","G5",13,"3.32",61,-0.0010079822535377,-1.65242992383229e-05
"Trial02_KriLR233",-0.0101083356140505,0.714596670951961,"KriLR233             ","Trial02","2","CHG","H2",14,"3.36",55,-0.00741770870518782,-0.000134867431003415
"Trial02_KriLR234",-0.00909281767850762,0.341591348925309,"KriLR234             ","Trial02","12","CUR","I1",15,"2.65",10,-0.00640219076964496,-0.000640219076964496
"Trial02_KriLR235",-0.0137073551366726,0.654008688337727,"KriLR235             ","Trial02","2","CHG","I3",16,"3.12",57,-0.01101672822781,-0.000193275933821227
"Trial03_KRLr3_39",-0.00651111012456844,0.577050409510912,"KRLr3_39             ","Trial03","1","TMP","A2",1,"2.48",24,-0.00716135034857808,-0.00029838959785742
"Trial03_KRLr3_40",-0.0172569883007355,0.951364759896031,"KRLr3_40             ","Trial03","1","TMP","A4",2,"3.16",48,-0.0179072285247451,-0.00037306726093219
"Trial03_KRLr3_41",-0.00899855620003296,0.619776524540835,"KRLr3_41             ","Trial03","7","CUR","B1",3,"2.91",22,-0.0096487964240426,-0.0004385816556383
"Trial03_KRLr3_42",-0.00361964555477523,0.380084213878293,"KRLr3_42             ","Trial03","13","CHG","B3",4,"2.25",2,-0.00426988577878486,-0.00213494288939243
"Trial03_KRLr3_44",-0.0121603733629357,0.832660977552009,"KRLr3_44             ","Trial03","1","TMP","C2",6,"2.79",32,-0.0128106135869453,-0.000400331674592042
"Trial03_KRLr3_45",-0.00828599801452354,0.672377937544553,"KRLr3_45             ","Trial03","1","TMP","C4",7,"2.64",12,-0.00893623823853318,-0.000744686519877765
"Trial03_KRLr3_46",-0.0127638211580637,0.817661283277735,"KRLr3_46             ","Trial03","13","CHG","D1",8,"2.93",25,-0.0134140613820733,-0.000536562455282933
"Trial03_KRLr3_47",-0.0189044000604158,0.912160476237344,"KRLr3_47             ","Trial03","7","CUR","D5",9,"3.03",52,-0.0195546402844255,-0.00037605077470049
"Trial03_KRLr3_48",-0.0130261538943534,0.860514258507838,"KRLr3_48             ","Trial03","13","CHG","F1",10,"2.81",40,-0.0136763941183631,-0.000341909852959077
"Trial03_KRLr3_49",-0.00279977259156675,0.297567365369241,"KRLr3_49             ","Trial03","1","TMP","G2",11,"2.95",56,-0.00345001281557639,-6.16073717067213e-05
"Trial03_KRLr3_50",-0.026105223575678,0.955417410387432,"KRLr3_50             ","Trial03","1","TMP","G4",12,"2.66",64,-0.0267554637996876,-0.000418054121870119
"Trial03_KRLr3_51",-0.00970391604218168,0.817575497111226,"KRLr3_51             ","Trial03","7","CUR","H1",13,"2.94",36,-0.0103541562661913,-0.000287615451838648
"Trial03_KRLr3_53",-0.00752337901203138,0.819759283104097,"KRLr3_53             ","Trial03","13","CHG","H5",15,"2.75",9,-0.00817361923604102,-0.000908179915115669
"Trial03_KRLr3_54",-0.00361774011300398,0.563456265646254,"KRLr3_54             ","Trial03","1","TMP","I4",16,"2.61",14,-0.00426798033701362,-0.000304855738358115
"Trial03_KRLr3_55",-0.0129083588835305,0.906347693810345,"KRLr3_55             ","Trial03","1","TMP","J1",17,"3.24",53,-0.0135585991075401,-0.000255822624670568
"Trial03_KRLr3_56",-0.00400397012561935,0.541912644156994,"KRLr3_56             ","Trial03","13","CHG","J3",18,"2",8,-0.00465421034962899,-0.000581776293703623
"Trial03_KRLr3_57",-0.0112468797754922,0.868424927177954,"KRLr3_57             ","Trial03","7","CUR","J5",19,"3.16",60,-0.0118971199995018,-0.000198285333325031
"Trial04_KRLr4_58",-0.0131570934408175,0.887802698764711,"KRLr4_58             ","Trial04","10","CUR","A2",1,"2.59",20,-0.012428851230003,-0.000621442561500152
"Trial04_KRLr4_62",-0.00576629852911064,0.617381749874822,"KRLr4_62             ","Trial04","10","CUR","C2",5,"2.5",4,-0.00503805631829615,-0.00125951407957404
"Trial04_KRLr4_65",-0.00604716285632832,0.62346513991498,"KRLr4_65             ","Trial04","5","CUR","D5",8,"2.83",41,-0.00531892064551384,-0.000129729771841801
"Trial04_KRLr4_67",-0.0213730562790676,0.725998457872828,"KRLr4_67             ","Trial04","10","CUR","F5",10,"3.29",65,-0.0206448140682531,-0.000317612524126971
"Trial04_KRLr4_70",-0.00599107847639056,0.753682652420268,"KRLr4_70             ","Trial04","10","CHG","H1",13,"3.02",38,-0.00526283626557608,-0.000138495691199371
"Trial04_KRLr4_71",0.000136679588170639,0.000138739924464194,"KRLr4_71             ","Trial04","5","CUR","H3",14,"2.41",5,0.000864921798985121,0.000172984359797024
"Trial04_KRLr4_75",-0.023999843043671,0.988630039541097,"KRLr4_75             ","Trial04","10","CUR","J1",18,"2.62",29,-0.0232716008328565,-0.000802468994236432
"Trial04_KRLr4_76",-0.00537531047000674,0.897638454291155,"KRLr4_76             ","Trial04","10","CUR","J3",19,"2.64",19,-0.00464706825919226,-0.000244582539957488
